economic_rank,technical_rank,candidate_id,pv_capacity_kw,wind_quantity,battery_quantity,converter_capacity_kw,total_load_kwh,total_served_load_kwh,total_unmet_load_kwh,unmet_load_pct,total_excess_energy_kwh,total_pv_generation_kwh,total_wind_generation_kwh,total_grid_import_kwh,total_grid_export_kwh,total_battery_charge_kwh,total_battery_discharge_kwh,renewable_fraction,gross_renewable_fraction,annual_capacity_shortage_pct,renewable_fraction_pct,max_required_operating_reserve_kw,min_available_operating_reserve_kw,reserve_shortfall_hours,passes_capacity_shortage,passes_renewable_fraction,passes_operating_reserve,is_feasible,failure_reasons,direct_capital_cost,annual_fixed_om_cost,annual_grid_net_cost,replacement_cost_present_value,salvage_value_present_value,annualized_capital_cost,annualized_total_cost,net_present_cost,levelized_cost_of_energy,energy_balance_passes,energy_balance_failed_rows,energy_balance_max_abs_mismatch_kw,run_success,error_message
1,1,3,1700.0,0,0,700.0,8760000.0,8760000.0,0.0,0.0,499586.4701435208,2687396.0100976187,0.0,6681580.937043607,0.0,0.0,0.0,0.23726245010917757,0.30678036644949985,0.0,23.726245010917758,1238.0153600000003,998999.0,0,True,True,True,True,,4460000.0,17000.0,668158.0937043608,66200.75804283688,10221.253343903942,417807.3545717778,1108209.5399282684,11829888.808792986,0.12650793834797586,True,0,2.2737367544323206e-13,True,
2,2,2,1700.0,0,0,500.0,8760000.0,8760000.0,0.0,0.0,949030.6987722542,2687396.0100976187,0.0,7108552.954240894,0.0,0.0,0.0,0.18852135225560476,0.30678036644949985,0.0,18.852135225560477,1238.0153600000003,998999.0,0,True,True,True,True,,4400000.0,17000.0,710855.2954240894,47286.255744883485,7300.895245645672,412186.6278286597,1143787.7030042703,12209677.736830413,0.13056937248907197,True,0,2.2737367544323206e-13,True,
3,3,6,2000.0,0,0,700.0,8760000.0,8760000.0,0.0,0.0,845468.3350103393,3161642.3648207323,0.0,6559634.671680127,0.0,0.0,0.0,0.25118325665751906,0.3609180781758827,0.0,25.118325665751907,1438.8416000000004,998999.0,0,True,True,True,True,,5210000.0,20000.0,655963.4671680128,66200.75804283688,10221.253343903942,488066.4388607539,1169273.9976808964,12481738.228379814,0.1334787668585498,True,0,2.2737367544323206e-13,True,
4,4,1,1700.0,0,0,300.0,8760000.0,8760000.0,0.0,0.0,1537249.181404416,2687396.0100976187,0.0,7667360.512741455,0.0,0.0,0.0,0.12473053507517591,0.30678036644949985,0.0,12.47305350751759,1238.0153600000003,998999.0,0,True,True,True,True,,4340000.0,17000.0,766736.0512741455,28371.75344693009,4380.537147387403,406565.90108554164,1192549.4202106,12730198.15457923,0.13613577856285386,True,0,4.547473508864641e-13,True,
5,5,5,2000.0,0,0,500.0,8760000.0,8760000.0,0.0,0.0,1358173.199761236,3161642.3648207323,0.0,7046704.293193475,0.0,0.0,0.0,0.19558170169024158,0.3609180781758827,0.0,19.55817016902416,1438.8416000000004,998999.0,0,True,True,True,True,,5150000.0,20000.0,704670.4293193476,47286.255744883485,7300.895245645672,482445.71211763576,1210861.9211885047,12925680.003971674,0.13822624671101652,True,0,4.547473508864641e-13,True,
6,6,4,2000.0,0,0,300.0,8760000.0,8760000.0,0.0,0.0,1984816.534094916,3161642.3648207323,0.0,7642015.46081047,0.0,0.0,0.0,0.12762380584355312,0.3609180781758827,0.0,12.762380584355313,1438.8416000000004,998999.0,0,True,True,True,True,,5090000.0,20000.0,764201.546081047,28371.75344693009,4380.537147387403,476824.9853745177,1263273.9993064776,13485167.207459854,0.1442093606514244,True,0,4.547473508864641e-13,True,
